"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010435","Randomised Clinical Trial of Five Ear Acupuncture Points for the Treatment of Overweight People","Obesity","Obesity","Obesity","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010441","Effect of acupuncture at HT7 on heart rate variability: an exploratory study","Not specified (the study was conducted on healthy volunteers to explore the effect of acupuncture on HRV)","Healthy volunteers","Not specified (the paper does not specify a primary medical condition or disease in TCM terminology)","Not specified (the paper does not specify a primary medical condition or disease in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010463","Acupuncture for treatment of secondary osteoporosis in patients with spinal cord injury: a controlled study","Secondary osteoporosis in patients with spinal cord injury (SCI)","Secondary osteoporosis in patients with spinal cord injury (SCI)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010469","Acupuncture combined with an antidepressant for patients with depression in hospital: a pragmatic randomised controlled trial","Depression","Depression","Depression (TCM patterns: Liver depression and Spleen deficiency, Liver Qi stagnation, Heart and Spleen deficiency, Liver and Kidney Yin deficiency)","Depression (TCM patterns: Liver depression and Spleen deficiency, Liver Qi stagnation, Heart and Spleen deficiency, Liver and Kidney Yin deficiency)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010470","Randomised clinical trials on acupuncture in the Korean literature: bibliometric analysis and methodological quality","- Musculoskeletal conditions: Low back pain, Shoulder pain, Sprain (ankle, wrist), Knee osteoarthritis, Neck pain, Myalgia, Elbow joint pain, Axial apondyloarthritis - Circulatory conditions: Stroke, Essential hypertension - Nervous system conditions: Bell’s palsy, Headache, Parkinson’s disease, Dizziness - Genitourinary conditions: Primary dysmenorrhoea, Hot flush, Premenstrual tension syndrome, Stress incontinence - Mental and behavioural disorder: Unspecified mood disorder, Anxiety disorder, Tobacco use - Ear, nose and throat conditions: Temporomandibular joint disorder, Allergic rhinitis, Tinnitus - Digestive conditions: Dyspepsia, Constipation - Motor or non-motor vehicle accident - Endocrine, nutritional and metabolic conditions: Obesity - Postprocedural disorders: Nausea, vomiting, pain after surgery - Symptoms, signs and abnormal clinical and laboratory findings not elsewhere classified: Fatigue - Conditions of the skin and subcutaneous tissue: Acne vulgaris","- Musculoskeletal conditions: Low back pain, Shoulder pain, Sprain (ankle, wrist), Knee osteoarthritis, Neck pain, Myalgia, Elbow joint pain, Axial apondyloarthritis - Circulatory conditions: Stroke, Essential hypertension - Nervous system conditions: Bell’s palsy, Headache, Parkinson’s disease, Dizziness - Genitourinary conditions: Primary dysmenorrhoea, Hot flush, Premenstrual tension syndrome, Stress incontinence - Mental and behavioural disorder: Unspecified mood disorder, Anxiety disorder, Tobacco use - Ear, nose and throat conditions: Temporomandibular joint disorder, Allergic rhinitis, Tinnitus - Digestive conditions: Dyspepsia, Constipation - Motor or non-motor vehicle accident - Endocrine, nutritional and metabolic conditions: Obesity - Postprocedural disorders: Nausea, vomiting, pain after surgery - Symptoms, signs and abnormal clinical and laboratory findings not elsewhere classified: Fatigue - Conditions of the skin and subcutaneous tissue: Acne vulgaris","Not specified (the paper uses ICD-10 for medical condition categorization, not TCM terminology)","Not specified (the paper uses ICD-10 for medical condition categorization, not TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010483","Effect of bidirectional rotation of an acupuncture needle at LI10 on acupuncture needle sensation and experimentally-induced contact heat pain in healthy human volunteers","Not specified (the study focuses on experimental heat pain in healthy volunteers rather than a specific disease or condition)","Healthy volunteers","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010489","Immediate effects of electroacupuncture and manual acupuncture on pain, mobility and muscle strength in patients with knee osteoarthritis: a randomised controlled trial","Knee osteoarthritis","Knee osteoarthritis","Not specified (the paper does not mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010490","Electroacupuncture at ST36 accelerates the recovery of gastrointestinal motility after colorectal surgery: a randomised controlled trial","Postoperative ileus after colorectal surgery","Postoperative ileus after colorectal surgery","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010495","Role of acupuncture in the management of diabetic painful neuropathy (DPN): a pilot RCT","Diabetic painful neuropathy (DPN)","Diabetic painful neuropathy (DPN)","Kidney deficiency, de qi, and blood stagnation","Kidney deficiency, de qi, and blood stagnation","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010498","Effect of perioperative electroacupuncture as an adjunctive therapy on postoperative analgesia with tramadol and ketamine in prostatectomy: a randomised sham-controlled single-blind trial","Prostate malignancy (prostate cancer)","Prostate malignancy (prostate cancer)","Not specified (the paper does not use TCM terminology to describe the condition)","Not specified (the paper does not use TCM terminology to describe the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2014-010530","Plasma nesfatin-1 level in obese patients after acupuncture: a randomised controlled trial","Obesity","Obesity","Not specified (the paper does not explicitly mention the condition in TCM terminology)","Not specified (the paper does not explicitly mention the condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2014-010592","Overview of the relevant literature on the possible role of acupuncture in treating male sexual dysfunction","Erectile dysfunction (ED) and premature ejaculation (PE)","Erectile dysfunction (ED) and premature ejaculation (PE)","Not specified (the paper does not provide TCM terminology for the conditions)","Not specified (the paper does not provide TCM terminology for the conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2014-010593","A feasibility study to examine the role of acupuncture to reduce symptoms of lymphoedema after breast cancer: a randomised controlled trial","Lymphoedema","Lymphoedema","Not specified (the paper does not explicitly state the TCM syndrome or pattern related to lymphoedema)","Not specified (the paper does not explicitly state the TCM syndrome or pattern related to lymphoedema)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2014-010617","Investigation into the effects of using two or four acupuncture needles with bidirectional rotation on experimentally-induced contact heat pain in healthy subjects","Not specified (the study focuses on experimentally-induced contact thermal pain in healthy volunteers, not a specific disease or condition)","Experimental pain, Healthy volunteers","Not specified (the study focuses on experimentally-induced contact thermal pain in healthy volunteers, not a specific TCM disease or condition)","Not specified (the study focuses on experimentally-induced contact thermal pain in healthy volunteers, not a specific TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
